ID_ENCARGADO,ID_PARQUEADERO
4701094,1
1134603,2
7243270,3
6752349,4
2306462,5
1628077,6
7264944,7
2074263,8
1546179,9
7160244,10
3973977,11
2769025,12
1908876,13
7442790,14
1269866,15
4273269,16
4914802,17
3638755,18
3299075,19
6301411,20
7073192,21
6993078,22
2776090,23
4186160,24
6843909,25
6945461,26
6020172,27
2169661,28
6264412,29
2447954,30
7920283,31
8574938,32
8846164,33
8996494,34
2864895,35
6066921,36
1444443,37
5147512,38
3592973,39
1513168,40
7097299,41
4184985,42
4537485,43
5736716,44
1267547,45
5795189,46
4344424,47
6538424,48
6908565,49
4173081,50
6373034,51
3271623,52
4273801,53
7012340,54
7651461,55
2189273,56
4441870,57
6967683,58
6014797,59
4155837,60
6646623,61
1016209,62
5821566,63
5224562,64
2342425,65
7401702,66
4804178,67
4300426,68
2965243,69
4006456,70
7055633,71
6541749,72
6504776,73
3646941,74
1606023,75
8990329,76
5648298,77
5750807,78
1492945,79
2643163,80
4613458,81
2944213,82
3007201,83
4044917,84
4469985,85
3417450,86
7739126,87
4324625,88
6189510,89
4335557,90
8842145,91
5020084,92
8025053,93
7426433,94
1204597,95
2626253,96
8439830,97
8694742,98
2452677,99
6680761,100
2038826,101
2104064,102
5034248,103
2086633,104
4731633,105
2254228,106
7553813,107
2220503,108
6774618,109
8043375,110
3848633,111
5655122,112
7053313,113
3065221,114
8558682,115
7650936,116
2306801,117
5306891,118
2510558,119
7019522,120
1946976,121
8663733,122
8480676,123
1031904,124
6213372,125
1735058,126
5963500,127
5366104,128
8164077,129
2296872,130
6816990,131
5915579,132
4866826,133
6623542,134
4370433,135
3546914,136
3940435,137
1041158,138
2617479,139
5616352,140
8849124,141
5048395,142
6765391,143
7907077,144
1234456,145
5630775,146
4240534,147
6479905,148
7526496,149
2764070,150
6937181,151
1371680,152
6618770,153
5974335,154
8116674,155
5526745,156
2231746,157
7662239,158
6900137,159
5442625,160
7883148,161
6106826,162
2770047,163
3776898,164
3636944,165
3639471,166
5320345,167
4964671,168
4271719,169
8687955,170
8829426,171
3361048,172
8022177,173
6574201,174
1853661,175
4042918,176
4924020,177
8636053,178
4755818,179
7613628,180
7177488,181
4239537,182
5711718,183
5599724,184
3986719,185
5573209,186
1555515,187
2305889,188
7338551,189
5383698,190
4188326,191
5850759,192
5249339,193
6969444,194
1651587,195
4979524,196
1281776,197
7030597,198
3551810,199
4341693,200
1672266,201
7152556,202
4439103,203
8204135,204
8183135,205
4771967,206
1506723,207
1957030,208
6729667,209
5728511,210
3286313,211
8676709,212
5203393,213
6248362,214
4270798,215
5188424,216
6454710,217
7774589,218
2347641,219
8870904,220
7452041,221
7895256,222
8868034,223
1507220,224
5894063,225
7851319,226
1827403,227
6007939,228
4820730,229
2814902,230
1851492,231
4491026,232
5834436,233
4717031,234
5197250,235
2541851,236
6595201,237
6993820,238
5083967,239
6051494,240
5195290,241
8051715,242
6752192,243
5605937,244
5309596,245
3994806,246
8218387,247
3305773,248
7584303,249
4470206,250
1005051,251
2967355,252
5796608,253
7545494,254
2126438,255
3268662,256
8858072,257
1864239,258
5011262,259
1825567,260
7463981,261
1193852,262
1291307,263
2164346,264
8647309,265
7258414,266
3699245,267
3731777,268
5402331,269
7737484,270
3679018,271
5603012,272
8894624,273
1181273,274
3543177,275
5369532,276
4422990,277
4813610,278
2158507,279
1823882,280
2757400,281
3519234,282
7922475,283
7641068,284
1604797,285
2005271,286
3788023,287
8206672,288
1262324,289
6053553,290
1052755,291
7249367,292
3261420,293
6287972,294
6775198,295
1832698,296
4659383,297
3520265,298
4581267,299
5270552,300
4289194,301
1344069,302
5790293,303
4296490,304
3380125,305
7325044,306
5426472,307
8253456,308
7563111,309
2148519,310
5020709,311
3645923,312
7267355,313
1242623,314
6825790,315
2497150,316
5290105,317
5810246,318
8401238,319
1471662,320
5483327,321
7975828,322
2055830,323
1835452,324
6219333,325
5246128,326
2456472,327
4196522,328
7573671,329
1892340,330
7590558,331
1658450,332
7784906,333
4210958,334
3763118,335
5964645,336
7846543,337
2670164,338
8316491,339
1352387,340
5978901,341
2748514,342
4561954,343
2383494,344
4830158,345
4835215,346
2686090,347
8610433,348
2472400,349
8269502,350
2261920,351
5554191,352
3188846,353
8441851,354
4077474,355
7152625,356
6749557,357
2783328,358
6326496,359
8007542,360
8777967,361
8651110,362
5062906,363
7206857,364
2642488,365
7769661,366
3065204,367
1575395,368
8505718,369
7640734,370
5978519,371
2825317,372
3221213,373
7186318,374
1447919,375
1567399,376
7190541,377
8629715,378
1420995,379
3481778,380
6418343,381
2988725,382
2678644,383
6727542,384
3938557,385
6699863,386
7841956,387
2830345,388
1368083,389
8402406,390
2834613,391
8859867,392
7498481,393
1720794,394
5943829,395
3333074,396
7543442,397
7160569,398
5188476,399
8631696,400
2690716,401
3715690,402
2245287,403
8686359,404
7722402,405
8589153,406
2164894,407
2918884,408
5561625,409
3023040,410
3927161,411
6746522,412
5618701,413
1610767,414
8792137,415
2486772,416
5641875,417
4656335,418
3422789,419
4810472,420
1066909,421
7058414,422
2733406,423
6912861,424
1257012,425
1493766,426
4348367,427
6943469,428
2857688,429
6803407,430
5763080,431
4291505,432
6158962,433
1376620,434
8492711,435
2105271,436
7270060,437
2816619,438
8949122,439
7273074,440
5214261,441
4890320,442
7042901,443
2260816,444
4409596,445
3753746,446
7254824,447
3665919,448
5280503,449
7372284,450
2939210,451
2837175,452
3608150,453
3034538,454
8203895,455
3400778,456
2188121,457
7714494,458
8137489,459
6106026,460
8324064,461
8678485,462
1298736,463
8419481,464
2689036,465
2228371,466
6305581,467
3815637,468
4924031,469
7876809,470
5315978,471
6069655,472
5917223,473
4262783,474
5016682,475
4834826,476
8377725,477
6558471,478
5226865,479
6642693,480
6668968,481
4829848,482
3680308,483
5586732,484
3536454,485
6953734,486
1176843,487
3502131,488
3662512,489
3210040,490
6651772,491
7582150,492
8600462,493
5694669,494
7223186,495
1102643,496
8114792,497
2467075,498
7122720,499
4701094,500
1134603,501
7243270,502
6752349,503
2306462,504
1628077,505
7264944,506
2074263,507
1546179,508
7160244,509
3973977,510
2769025,511
1908876,512
7442790,513
1269866,514
4273269,515
4914802,516
3638755,517
3299075,518
6301411,519
7073192,520
6993078,521
2776090,522
4186160,523
6843909,524
6945461,525
6020172,526
2169661,527
6264412,528
2447954,529
7920283,530
8574938,531
8846164,532
8996494,533
2864895,534
6066921,535
1444443,536
5147512,537
3592973,538
1513168,539
7097299,540
4184985,541
4537485,542
5736716,543
1267547,544
5795189,545
4344424,546
6538424,547
6908565,548
4173081,549
6373034,550
3271623,551
4273801,552
7012340,553
7651461,554
2189273,555
4441870,556
6967683,557
6014797,558
4155837,559
6646623,560
1016209,561
5821566,562
5224562,563
2342425,564
7401702,565
4804178,566
4300426,567
2965243,568
4006456,569
7055633,570
6541749,571
6504776,572
3646941,573
1606023,574
8990329,575
5648298,576
5750807,577
1492945,578
2643163,579
4613458,580
2944213,581
3007201,582
4044917,583
4469985,584
3417450,585
7739126,586
4324625,587
6189510,588
4335557,589
8842145,590
5020084,591
8025053,592
7426433,593
1204597,594
2626253,595
8439830,596
8694742,597
2452677,598
6680761,599
2038826,600
2104064,601
5034248,602
2086633,603
4731633,604
2254228,605
7553813,606
2220503,607
6774618,608
8043375,609
3848633,610
5655122,611
7053313,612
3065221,613
8558682,614
7650936,615
2306801,616
5306891,617
2510558,618
7019522,619
1946976,620
8663733,621
8480676,622
1031904,623
6213372,624
1735058,625
5963500,626
5366104,627
8164077,628
2296872,629
6816990,630
5915579,631
4866826,632
6623542,633
4370433,634
3546914,635
3940435,636
1041158,637
2617479,638
5616352,639
8849124,640
5048395,641
6765391,642
7907077,643
1234456,644
5630775,645
4240534,646
6479905,647
7526496,648
2764070,649
6937181,650
1371680,651
6618770,652
5974335,653
8116674,654
5526745,655
2231746,656
7662239,657
6900137,658
5442625,659
7883148,660
6106826,661
2770047,662
3776898,663
3636944,664
3639471,665
5320345,666
4964671,667
4271719,668
8687955,669
8829426,670
3361048,671
8022177,672
6574201,673
1853661,674
4042918,675
4924020,676
8636053,677
4755818,678
7613628,679
7177488,680
4239537,681
5711718,682
5599724,683
3986719,684
5573209,685
1555515,686
2305889,687
7338551,688
5383698,689
4188326,690
5850759,691
5249339,692
6969444,693
1651587,694
4979524,695
1281776,696
7030597,697
3551810,698
4341693,699
1672266,700
7152556,701
4439103,702
8204135,703
8183135,704
4771967,705
1506723,706
1957030,707
6729667,708
5728511,709
3286313,710
8676709,711
5203393,712
6248362,713
4270798,714
5188424,715
6454710,716
7774589,717
2347641,718
8870904,719
7452041,720
7895256,721
8868034,722
1507220,723
5894063,724
7851319,725
1827403,726
6007939,727
4820730,728
2814902,729
1851492,730
4491026,731
5834436,732
4717031,733
5197250,734
2541851,735
6595201,736
6993820,737
5083967,738
6051494,739
5195290,740
8051715,741
6752192,742
5605937,743
5309596,744
3994806,745
8218387,746
3305773,747
7584303,748
4470206,749
1005051,750
2967355,751
5796608,752
7545494,753
2126438,754
3268662,755
