ID_RESERVA,ID_ESPACIO_PARQUEADERO,COSTO,ID_DEMANDANTE
1,873,25509,1984637
2,643,7230,4592160
3,661,26376,7158240
4,691,29164,2209823
5,387,28335,4716358
6,810,10355,4294168
7,694,24267,4468531
8,926,9062,2174280
9,755,3006,9557693
10,380,3723,8837004
11,884,13939,6818097
12,183,12470,5076933
13,375,14957,1480636
14,430,9860,4830037
15,37,28710,9177208
16,879,12233,6609467
17,764,7395,2017356
18,383,12947,7002500
19,15,27939,7646678
20,26,17452,3489576
21,709,29673,9581968
22,811,3110,4026755
23,33,13924,6764310
24,91,18337,1817339
25,1000,22455,1417467
26,683,6990,2050014
27,568,12341,8596889
28,341,1244,9485159
29,885,12243,8410667
30,284,10958,2817707
31,190,4821,9547732
32,542,18514,2660652
33,682,7097,7443570
34,518,17497,8748661
35,352,17779,7524853
36,114,22032,4181272
37,938,28856,7289244
38,722,12134,7801404
39,896,20558,6182869
40,965,5017,4087852
41,660,13094,2552869
42,980,18134,7927810
43,966,5792,4161791
44,503,16642,2261098
45,917,1574,6710494
46,222,19076,6614357
47,763,28702,2492384
48,570,5118,3742034
49,822,19878,8294448
50,35,22956,6102505
51,664,25876,9666366
52,462,12030,9554710
53,331,2798,6027043
54,742,3872,9177208
55,132,19783,2261098
56,796,21683,5864212
57,817,15312,8307978
58,681,6779,7689040
59,905,5156,2588541
60,925,6015,4071452
61,985,27602,2162581
62,577,1990,3305445
63,551,15927,3770211
64,201,7226,3418114
65,527,16974,6905577
66,903,1516,3786757
67,133,26145,8694874
68,427,18281,5261397
69,13,21098,8706654
70,738,10425,9180413
71,397,24882,1725207
72,517,14259,8951528
73,614,27565,4606465
74,380,16297,1725037
75,408,2060,3790598
76,787,29722,6788591
77,674,19796,1869784
78,648,11334,9663358
79,224,14910,8453983
80,367,1669,5681772
81,898,20107,5416658
82,982,1460,5076933
83,730,13094,9905222
84,874,17380,6943990
85,734,25513,1346119
86,704,8606,8496308
87,68,9847,6027043
88,601,13600,4110487
89,638,23491,7854068
90,604,20741,3521390
91,348,22718,6597737
92,38,16945,7602301
93,83,24339,1915610
94,425,18056,6113235
95,699,1020,6764310
96,808,12090,9814557
97,364,23957,1971637
98,959,12524,2729896
99,50,11862,2019041
100,148,18068,6234607
101,997,23419,6439900
102,268,10251,3604442
103,588,2787,1552564
104,601,12838,8410667
105,269,22411,2587375
106,614,3393,9980048
107,769,13517,1799859
108,958,1398,3545000
109,82,23979,8804421
110,767,13500,8416453
111,396,5632,6656156
112,196,2438,8335201
113,296,24808,8352475
114,296,27765,1839441
115,241,20078,4316461
116,778,5422,8457290
117,295,3444,9675906
118,983,10994,5864212
119,342,21005,9634297
120,324,22652,3388104
121,141,23007,3432966
122,949,24803,8515948
123,618,2769,9180413
124,203,6610,8616786
125,862,28031,5447051
126,698,4942,9667505
127,401,27417,2356676
128,474,2912,6122431
129,912,13746,1417467
130,500,11283,5534909
131,853,26428,5438008
132,272,16367,9636657
133,926,13438,3604442
134,449,16037,9905222
135,658,22043,2960612
136,928,8430,3056333
137,548,19030,6182869
138,460,2749,9944759
139,49,26336,3309548
140,441,20833,6102505
141,846,2431,3718746
142,556,12274,9074918
143,289,19226,7218432
144,63,4691,7883452
145,105,7618,5189102
146,141,11256,8488027
147,55,10946,7219026
148,863,4161,7454706
149,906,14515,5324550
150,618,26909,3723611
151,714,18915,9870740
152,484,15830,4187449
153,749,17179,5748056
154,724,2708,8775460
155,937,22018,5285095
156,227,6387,4275112
157,10,12059,1813534
158,594,8346,3129478
159,942,19675,4518366
160,830,28710,9707539
161,701,5786,4547869
162,434,10489,1417467
163,868,26292,9994220
164,280,9729,7898258
165,580,19733,5534840
166,366,6861,4642936
167,116,5314,5602646
168,735,5081,9526641
169,83,5693,5224437
170,809,9617,4365679
171,981,9181,4055638
172,546,22338,6971921
173,892,8025,5670004
174,709,27625,1968915
175,435,23496,3616776
176,539,16436,6405453
177,41,12914,6306079
178,534,17150,6122431
179,91,19615,2567865
180,148,6541,6818097
181,108,5316,3747969
182,73,27959,9074918
183,888,21734,8247173
184,221,12110,6851007
185,933,6556,6182869
186,780,17075,3320803
187,913,24950,6027043
188,910,17794,2162581
189,926,8659,2504599
190,475,16975,4054493
191,390,8698,1116945
192,259,19988,7336460
193,73,11960,1560822
194,634,28158,4195310
195,234,23190,1891307
196,875,14940,6424916
197,241,22412,3747969
198,451,26751,8246689
199,296,23155,6511172
200,636,3191,1177301
201,400,6486,1814998
202,919,16315,6378526
203,430,10693,2050014
204,497,14806,3742034
205,166,29786,2905897
206,956,17110,4021900
207,987,29109,3723611
208,908,12494,3534056
209,966,4460,9908591
210,640,27495,6493577
211,340,19413,1525288
212,317,21656,1693866
213,910,23162,8325776
214,918,23430,7389502
215,188,24595,1724996
216,643,12360,4600234
217,390,28643,5676818
218,699,20482,4651777
219,422,11460,3970105
220,183,1357,4088690
221,694,17700,4838353
222,712,13776,5785456
223,458,13009,3950824
224,957,8379,2437010
225,708,9627,7198387
226,145,6304,3699578
227,185,19299,3965798
228,450,24358,8273320
229,456,2298,7336460
230,764,13405,1814998
231,951,11839,4174495
232,310,15926,9315721
233,187,6870,8453983
234,375,4237,4675888
235,737,20031,3718746
236,99,20520,6359070
237,271,18925,5602646
238,195,3531,6716502
239,280,27621,3333753
240,764,27279,6137383
241,450,2855,8206137
242,134,15703,1799859
243,857,2978,2277531
244,247,23891,6386394
245,915,10257,6182869
246,813,27677,4547792
247,346,28331,6534013
248,922,16385,9498271
249,367,23219,2550273
250,774,5248,2874144
251,941,25093,1227434
252,339,28833,1599072
253,656,22314,2611386
254,537,13578,1647431
255,785,10051,8206137
256,797,16077,4952024
257,244,11177,1410211
258,755,20153,1125505
259,9,21574,4257718
260,399,16392,1370082
261,961,25794,6916441
262,217,15890,4673805
263,133,25608,8905147
264,199,23062,2923269
265,517,26130,7146141
266,187,23692,6382229
267,832,17363,9663358
268,393,19047,3723611
269,360,19111,9777674
270,391,3366,6132699
271,524,25548,5540953
272,318,15852,8157546
273,779,25898,9648892
274,319,5794,8416453
275,95,16872,6610918
276,72,1404,9904966
277,321,19531,4221873
278,231,28812,7603553
279,299,5168,8301816
280,685,27379,1346119
281,136,18173,4547869
282,220,18024,4606465
283,140,27454,1552564
284,516,11371,6540887
285,41,1962,4316461
286,323,3578,3825104
287,952,18394,7146141
288,268,18126,3042319
289,748,17923,9434514
290,892,6100,8457290
291,896,6207,1725037
292,455,8314,8120573
293,875,26103,9628415
294,965,22313,6075626
295,40,25027,2483266
296,256,21094,6851007
297,379,25069,3465452
298,579,12468,9554710
299,374,4644,5633653
300,407,22277,4967838
