ID_RESERVA,ID_ESPACIO_PARQUEADERO,COSTO,ID_DEMANDANTE
1,637,4892,3532149
2,467,21090,3707024
3,856,1082,8995874
4,191,24508,7630747
5,830,4293,9510766
6,431,22200,4439650
7,62,8450,9431154
8,219,18027,2431869
9,552,5614,4198265
10,513,14568,1135475
11,587,11961,4671582
12,113,23852,6800364
13,377,8622,8155792
14,131,5664,4042101
15,571,17862,3437582
16,968,25804,6080013
17,141,3346,8351464
18,698,10260,3309128
19,410,10928,6530848
20,505,6083,5368409
21,234,5192,3193273
22,711,11718,6152257
23,274,10883,1943847
24,170,10311,7445065
25,498,20716,8763447
26,361,15478,3245318
27,954,9872,7373355
28,378,14534,1549146
29,676,22782,4908677
30,935,4683,6927608
31,891,5205,4042101
32,634,12147,6586881
33,685,27392,1566219
34,551,14831,7598160
35,708,28930,3099739
36,584,20596,6215345
37,456,13358,9154220
38,506,22649,5939752
39,647,26128,8308171
40,350,10674,4949486
41,264,26602,7180649
42,560,20136,4777888
43,523,11028,8873651
44,669,23407,4862902
45,926,3121,2130473
46,20,26325,5608231
47,85,23413,4867893
48,348,14472,1196418
49,512,29691,3520276
50,765,11587,8873651
51,437,16965,3820040
52,312,9892,8583495
53,240,2235,5148831
54,99,1959,9790350
55,109,1904,4449452
56,267,24242,1943847
57,429,28881,5040483
58,902,19308,8765823
59,740,1951,2934794
60,409,28254,4217357
61,644,29779,7445065
62,163,6814,1776614
63,620,6894,3787106
64,515,28223,6536597
65,222,19310,4437304
66,47,28277,2146625
67,35,27931,2251788
68,863,27874,4371878
69,719,11114,8354932
70,566,27981,5277136
71,789,25511,5064936
72,9,14114,8679704
73,206,24067,9791816
74,484,29268,6453173
75,558,23041,1227553
76,394,6306,2288037
77,473,9290,8827924
78,174,29861,4130748
79,238,15706,2022816
80,850,25541,4370299
81,296,18726,3437582
82,11,15829,6253384
83,304,7202,9100513
84,870,1457,9172201
85,41,6737,7414272
86,786,27424,6490950
87,122,1264,9541896
88,648,9916,2216594
89,554,8300,5062399
90,679,15228,5596259
91,15,29425,9600593
92,408,15157,6350457
93,977,7596,3547488
94,672,20863,2531065
95,827,17704,9889105
96,664,29390,7827573
97,42,1433,7686808
98,403,9933,6292776
99,547,9285,1761768
100,222,9740,9277181
